dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
hyser_1dof_f1_s1,True,LMS+Rice+xchan,cross-channel,1.473818987394242,2605476,4.6882986011713825,1.7156244504545926,True,OK,OK,0.0572,150.8,10.8
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_xlag,cross-channel,1.4684456273589777,2615010,0.673691705747938,0.5504800082669478,True,OK,-,0.1063,150.2,
hyser_1dof_f1_s1,True,delta+Rice+xchan,cross-channel,1.451551080611738,2645446,5.377503865651991,1.869544689562507,True,OK,OK,0.0127,148.5,10.9
hyser_1dof_f1_s1,True,zstd-19,,1.4398826495640604,2666884,6.9713964772442125,398.1991428478957,True,ref,,,147.3,
hyser_1dof_f1_s1,True,mtscomp,,1.4145251100308984,2714692,25.34242934451568,132.3223444821221,True,ref,,,144.7,
hyser_1dof_f1_s1,True,gzip-9,,1.3788700375490728,2784889,32.124504659113676,193.01169890301466,True,ref,,,141.1,
hyser_1dof_f1_s1,True,LMS+Rice+acar,cross-channel,1.3632998957998648,2816695,4.011726988090273,1.6781235562901442,True,OK,OK,0.0559,139.5,
hyser_1dof_f1_s1,True,wavpack,,1.336608953469997,2872942,2.1463283078380786,inf,True,ref,,,136.7,
hyser_1dof_f1_s1,True,LMS+Rice,temporal,1.3299921897594065,2887235,3.4212671269654016,1.6497475354366737,True,OK,OK,0.0523,136.1,
hyser_1dof_f1_s1,True,fixed0-3+Rice,temporal,1.3100566292447626,2931171,1.597351198379288,1.7386333730767751,True,OK,OK,0.0193,134.0,
hyser_1dof_f1_s1,True,delta+Rice,temporal,1.3090031463799585,2933530,4.542175474152422,1.4463288412330975,True,OK,OK,0.0079,133.9,
hyser_1dof_f1_s1,True,flac,,0.9774230546608571,3928698,2.3486816724475337,2.748846991616598,True,ref,,,100.0,
capgmyo_dba_s1,True,LMS4+Rice+xchan_xlag,cross-channel,1.3638470431334386,2815565,0.6558553065198895,0.5084483835678557,True,OK,-,0.1063,138.6,
capgmyo_dba_s1,True,LMS4bc_lite+Rice+xchan_bestpartner,temporal,1.3537777273244875,2836507,2.157940751270571,1.2051233904281171,True,OK,OK,0.0983,137.6,
capgmyo_dba_s1,True,LMS4bcxs+Rice+xchan_bestpartner,temporal,1.3531628066288064,2837796,2.16790626913895,1.2533540582865617,True,OK,OK,0.1013,137.5,
capgmyo_dba_s1,True,LMS4bc+Rice+xchan_bestpartner,temporal,1.3531456407567466,2837832,2.793139558281958,1.4781575994981762,True,OK,OK,0.1202,137.5,
capgmyo_dba_s1,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,1.3528662797375157,2838418,1.41826534962903,0.9392552943162913,True,OK,OK,0.0387,137.5,
capgmyo_dba_s1,True,LMS4+Rice+xchan_mst,cross-channel,1.3527318843132419,2838700,0.9166425861387695,0.6789006938471642,True,OK,OK,0.0464,137.5,
capgmyo_dba_s1,True,LMS4+Rice+xchan_bprank,cross-channel,1.3514559826563148,2841380,0.721311773041367,0.5695933492811539,True,OK,OK,0.0554,137.3,
capgmyo_dba_s1,True,LMS4bcxm+Rice+xchan_bestpartner,temporal,1.3513427913252238,2841618,2.783850585631378,1.4853542952329002,True,OK,OK,0.1189,137.3,
capgmyo_dba_s1,True,LMS4bcpool+Rice+xchan_bestpartner,temporal,1.3506231859794058,2843132,2.640327641912223,1.3811071315058268,True,OK,OK,0.1282,137.3,
capgmyo_dba_s1,True,LMS4+Rice+xchan_bestpartner,cross-channel,1.3504802117721781,2843433,3.8035320542989286,1.6969861773415955,True,OK,OK,0.0394,137.2,
capgmyo_dba_s1,True,LMS4+Rice+acar_sel+bestpartner,cross-channel,1.3504802117721781,2843433,3.826112169391152,1.708257623939283,True,OK,OK,0.043,137.2,
