dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
otb_hdsemg_vl,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,2.153106023650524,891735,1.0305161221702615,0.7444220868859365,True,OK,OK,0.0387,175.4,
otb_hdsemg_vl,True,LMS4+Rice+xchan_scalesel,cross-channel,2.1530287619972484,891767,0.5452257574194936,0.4499065614018499,True,OK,OK,0.0494,175.4,
otb_hdsemg_vl,True,LMS4+Rice+xchan_jointbp2,cross-channel,2.1522443873501835,892092,0.4930674134862462,0.4174067950399211,True,OK,OK,0.0468,175.3,
otb_hdsemg_vl,True,LMS+Rice+xchan_joint2,cross-channel,2.1496756452945616,893158,1.6849670706185242,1.0083073746131808,True,OK,OK,0.0366,175.1,
otb_hdsemg_vl,True,LMS4v2+Rice+xchan_bestpartner,temporal,2.143062838620671,895914,1.6472412114864394,0.9713615856686464,True,OK,OK,0.0592,174.6,
otb_hdsemg_vl,True,LMS+Rice+xchan,cross-channel,2.142618011382658,896100,3.0617576515427123,1.370349859426285,True,OK,OK,0.0572,174.6,17.4
otb_hdsemg_vl,True,LMS4+Rice+xchan_lagbp,cross-channel,2.092332907601707,917636,0.2050446111566415,0.18699466561564038,True,OK,OK,0.0706,170.5,
otb_hdsemg_vl,True,LMS+Rice+acar,cross-channel,2.0889341974847926,919129,3.087101368871119,1.3346868939975536,True,OK,OK,0.0559,170.2,
otb_hdsemg_vl,True,delta+Rice+xchan,cross-channel,2.0409551670181645,940736,4.248840185576716,1.489327032198359,True,OK,OK,0.0127,166.3,16.2
otb_hdsemg_vl,True,wavpack,,1.8523270823725995,1036534,8.45070474608366,inf,True,ref,,,150.9,
otb_hdsemg_vl,True,LMS+Rice,temporal,1.8253518555842456,1051852,2.907280651149486,1.2497892282541063,True,OK,OK,0.0523,148.7,
otb_hdsemg_vl,True,fixed0-3+Rice,temporal,1.8248001748766833,1052170,1.211803753963938,1.3862911673692775,True,OK,OK,0.0193,148.7,
otb_hdsemg_vl,True,delta+Rice,temporal,1.757117010265407,1092699,3.782366448442589,1.307468765577347,True,OK,OK,0.0079,143.2,
otb_hdsemg_vl,True,lzma,,1.5826384561361861,1213164,2.733179928864939,22.784560469786154,True,ref,,,128.9,
otb_hdsemg_vl,True,mtscomp,,1.4852737429130396,1292691,13.549767342720099,126.08910283426447,True,ref,,,121.0,
otb_hdsemg_vl,True,zstd-19,,1.4390106801573919,1334250,2.625112334299694,300.7548005635848,True,ref,,,117.2,
otb_hdsemg_vl,True,gzip-9,,1.3274308750742358,1446403,22.15252126269558,156.2224500292279,True,ref,,,108.1,
otb_hdsemg_vl,True,flac,,1.227415867674341,1564262,10.617184863715387,12.822891083277243,True,ref,,,100.0,
hyser_1dof_f1_s1,True,lzma,,1.6674366981974313,2302936,3.1485381824253658,26.571178707448066,True,ref,,,170.6,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_jointbp2,cross-channel,1.496924288376227,2565260,0.42539926998945465,0.34956245320531226,True,OK,OK,0.0468,153.2,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_scalesel,cross-channel,1.4943099479015063,2569748,0.45962668753215496,0.37316706525415444,True,OK,OK,0.0494,152.9,
hyser_1dof_f1_s1,True,LMS+Rice+xchan_joint2,cross-channel,1.4930027161762955,2571998,1.5917832190029777,0.9135937227264601,True,OK,OK,0.0366,152.7,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_bestpartner,cross-channel,1.4803843293608403,2593921,2.3634695964606185,1.2083524474211067,True,OK,OK,0.0394,151.5,
hyser_1dof_f1_s1,True,LMS4+Rice+acar_sel+bestpartner,cross-channel,1.4803843293608403,2593921,2.463325868158051,1.2232134877102707,True,OK,OK,0.043,151.5,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,1.4770202194067379,2599829,0.8886411240183701,0.5994879045055058,True,OK,OK,0.0387,151.1,
hyser_1dof_f1_s1,True,LMS4+Rice+xchan_lagbp,cross-channel,1.4766993001829722,2600394,0.16612992223820613,0.1549020051851261,True,OK,OK,0.0706,151.1,
hyser_1dof_f1_s1,True,LMS4v2+Rice+xchan_bestpartner,temporal,1.4757969303423848,2601984,2.029726557992104,1.0928691735049405,True,OK,OK,0.0592,151.0,
hyser_1dof_f1_s1,True,LMS+Rice+xchan,cross-channel,1.473818987394242,2605476,2.862207204830494,1.2313915472458878,True,OK,OK,0.0572,150.8,10.8
hyser_1dof_f1_s1,True,delta+Rice+xchan,cross-channel,1.451551080611738,2645446,3.260809457887963,1.314977911887963,True,OK,OK,0.0127,148.5,10.9
hyser_1dof_f1_s1,True,zstd-19,,1.4398826495640604,2666884,4.197771277296207,279.16420853260246,True,ref,,,147.3,
hyser_1dof_f1_s1,True,mtscomp,,1.4145251100308984,2714692,17.45635425022705,121.72250660283005,True,ref,,,144.7,
hyser_1dof_f1_s1,True,gzip-9,,1.3788700375490728,2784889,27.274411390149822,155.83764785214072,True,ref,,,141.1,
hyser_1dof_f1_s1,True,LMS+Rice+acar,cross-channel,1.3632998957998648,2816695,2.600298655406059,1.1148738341731996,True,OK,OK,0.0559,139.5,
hyser_1dof_f1_s1,True,wavpack,,1.336608953469997,2872942,8.854877774797501,inf,True,ref,,,136.7,
hyser_1dof_f1_s1,True,LMS+Rice,temporal,1.3299921897594065,2887235,2.6342301252407836,1.1723116041452835,True,OK,OK,0.0523,136.1,
hyser_1dof_f1_s1,True,fixed0-3+Rice,temporal,1.3100566292447626,2931171,0.9989670381656047,1.1890721828795277,True,OK,OK,0.0193,134.0,
hyser_1dof_f1_s1,True,delta+Rice,temporal,1.3090031463799585,2933530,2.9179580375553984,1.2322352874418108,True,OK,OK,0.0079,133.9,
hyser_1dof_f1_s1,True,flac,,0.9774230546608571,3928698,9.443794004499626,13.23866364935742,True,ref,,,100.0,
capgmyo_dba_s1,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,1.3528662797375157,2838418,0.86256137877265,0.6095542955594698,True,OK,OK,0.0387,137.5,
capgmyo_dba_s1,True,LMS4+Rice+xchan_scalesel,cross-channel,1.3524526940928105,2839286,0.4575258682239604,0.3807234007173978,True,OK,OK,0.0494,137.4,
capgmyo_dba_s1,True,LMS4+Rice+xchan_lagbp,cross-channel,1.3513171118975027,2841672,0.16371115909078174,0.15235006199120296,True,OK,OK,0.0706,137.3,
capgmyo_dba_s1,True,LMS4+Rice+xchan_bestpartner,cross-channel,1.3504802117721781,2843433,2.3268578062194782,1.1666315738926638,True,OK,OK,0.0394,137.2,
capgmyo_dba_s1,True,LMS4+Rice+acar_sel+bestpartner,cross-channel,1.3504802117721781,2843433,2.26453741688244,1.1423890336507636,True,OK,OK,0.043,137.2,
capgmyo_dba_s1,True,LMS+Rice+xchan_joint2,cross-channel,1.3504407923148665,2843516,1.5270728858383449,0.8841972749035591,True,OK,OK,0.0366,137.2,
