dataset,real,name,family,ratio,comp,enc,dec,ok,embedded,neural,cost,pct_of_flac,xchan_gain
hyser_1dof_f1_s1,True,LMS+Rice,temporal,1.3299921897594065,2887235,3.2804876754524868,1.4953799919716524,True,OK,OK,0.0523,136.1,
hyser_1dof_f1_s1,True,fixed0-3+Rice,temporal,1.3100566292447626,2931171,1.3093732263256361,1.604462197896624,True,OK,OK,0.0193,134.0,
hyser_1dof_f1_s1,True,delta+Rice,temporal,1.3090031463799585,2933530,3.506458733992752,1.5816923193483947,True,OK,OK,0.0079,133.9,
hyser_1dof_f1_s1,True,flac,,0.9774230546608571,3928698,11.387342538185218,14.85772980833373,True,ref,,,100.0,
capgmyo_dba_s1,True,LMS4+Rice+xchan_xlag,cross-channel,1.3638470431334386,2815565,0.49794408270089896,0.4186513411775556,True,OK,-,0.1063,138.6,
capgmyo_dba_s1,True,LMS4bc_lite+Rice+xchan_bestpartner,temporal,1.3537777273244875,2836507,1.697416224275327,1.0779546644645954,True,OK,OK,0.0983,137.6,
capgmyo_dba_s1,True,LMS4bc+Rice+xchan_bestpartner,temporal,1.3531456407567466,2837832,2.3393746725759086,1.2802940528168307,True,OK,OK,0.1202,137.5,
capgmyo_dba_s1,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,1.3528662797375157,2838418,1.1567266750700207,0.7974352099648537,True,OK,OK,0.0387,137.5,
capgmyo_dba_s1,True,LMS4+Rice+xchan_mst,cross-channel,1.3527318843132419,2838700,0.7593863320185553,0.58793056217802,True,OK,OK,0.0464,137.5,
capgmyo_dba_s1,True,LMS4+Rice+xchan_bprank,cross-channel,1.3514559826563148,2841380,0.5749902896530805,0.49659903298729374,True,OK,OK,0.0554,137.3,
capgmyo_dba_s1,True,LMS4+Rice+xchan_bestpartner,cross-channel,1.3504802117721781,2843433,2.9757122759251184,1.439735277314279,True,OK,OK,0.0394,137.2,
capgmyo_dba_s1,True,LMS4+Rice+acar_sel+bestpartner,cross-channel,1.3504802117721781,2843433,2.993634513317737,1.4784230337569646,True,OK,OK,0.043,137.2,
capgmyo_dba_s1,True,LMS+Rice+xchan_joint2,cross-channel,1.3504407923148665,2843516,2.0711276227158217,1.114974219004276,True,OK,OK,0.0366,137.2,
capgmyo_dba_s1,True,LMS4+Rice+xchan_jointbp2,cross-channel,1.3502874107852096,2843839,0.5405989676916401,0.4614104115532724,True,OK,OK,0.0468,137.2,
capgmyo_dba_s1,True,LMS+Rice+xchan,cross-channel,1.34930194707082,2845916,3.4327110574323054,1.509804472673534,True,OK,OK,0.0572,137.1,1.3
capgmyo_dba_s1,True,wavpack,,1.3471698907529417,2850420,9.625000602190338,inf,True,ref,,,136.9,
capgmyo_dba_s1,True,LMS+Rice+acar,cross-channel,1.3322596615713518,2882321,3.0987495239194196,1.3895702924852482,True,OK,OK,0.0559,135.4,
capgmyo_dba_s1,True,LMS+Rice,temporal,1.3322587371366776,2882323,3.250970217350572,1.4212148882699367,True,OK,OK,0.0523,135.4,
capgmyo_dba_s1,True,delta+Rice+xchan,cross-channel,1.29002608271486,2976684,3.464161856323,1.5943052850094137,True,OK,OK,0.0127,131.1,1.2
capgmyo_dba_s1,True,delta+Rice,temporal,1.2748009368458968,3012235,3.3807556566087418,1.5743621648497084,True,OK,OK,0.0079,129.6,
capgmyo_dba_s1,True,fixed0-3+Rice,temporal,1.2743178168546452,3013377,1.3392605237444284,1.6351781976703461,True,OK,OK,0.0193,129.5,
capgmyo_dba_s1,True,lzma,,1.17316817732437,3273188,2.6202157886763437,18.75324958653019,True,ref,,,119.2,
capgmyo_dba_s1,True,mtscomp,,1.1395950520207334,3369618,22.068448811134754,105.68469439301184,True,ref,,,115.8,
capgmyo_dba_s1,True,zstd-19,,1.1177226865978356,3435557,4.178515460248211,636.1031262370919,True,ref,,,113.6,
capgmyo_dba_s1,True,gzip-9,,1.114945996255059,3444113,31.579859704355883,149.07606035344259,True,ref,,,113.3,
capgmyo_dba_s1,True,flac,,0.9840040405665916,3902423,10.887929043591006,14.07399614585726,True,ref,,,100.0,
cemhsey_s1_d1t1,True,lzma,,2.0589247094128034,4662628,1.6805977291611114,38.17266437690779,True,ref,,,175.8,
cemhsey_s1_d1t1,True,LMS4bc_lite+Rice+xchan_bestpartner,temporal,1.9699941166946535,4873111,1.9809540295777848,1.20949441382758,True,OK,OK,0.0983,168.2,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_bestpartner,cross-channel,1.955547153945561,4909112,4.041467956843775,1.7045774665224025,True,OK,OK,0.0394,166.9,
cemhsey_s1_d1t1,True,LMS4+Rice+acar_sel+bestpartner,cross-channel,1.955547153945561,4909112,4.0658272991523905,1.7138827428086543,True,OK,OK,0.043,166.9,
cemhsey_s1_d1t1,True,LMS4bc+Rice+xchan_bestpartner,temporal,1.9552540119368258,4909848,3.195510410130061,1.5760162195801048,True,OK,OK,0.1202,166.9,
cemhsey_s1_d1t1,True,LMS+Rice+xchan,cross-channel,1.955106677544663,4910218,4.731485082056272,1.7210101295779452,True,OK,OK,0.0572,166.9,13.1
cemhsey_s1_d1t1,True,LMS+Rice+xchan_joint2,cross-channel,1.954269682294785,4912321,2.2265876834350884,1.2579300127486408,True,OK,OK,0.0366,166.8,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_bestpartner_adaptive,cross-channel,1.9539478906521912,4913130,1.4996252806643744,0.969078883158594,True,OK,OK,0.0387,166.8,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_mst,cross-channel,1.9531210263650993,4915210,0.9661396857281184,0.7261694868530975,True,OK,OK,0.0464,166.7,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_xlag,cross-channel,1.9523405207258233,4917175,0.5427610064091908,0.45587715548838176,True,OK,-,0.1063,166.7,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_jointbp2,cross-channel,1.9522595268739709,4917379,0.6516633169493219,0.5290848393322349,True,OK,OK,0.0468,166.7,
cemhsey_s1_d1t1,True,LMS4+Rice+xchan_bprank,cross-channel,1.9520971623827623,4917788,0.7679655241845013,0.5964981682893027,True,OK,OK,0.0554,166.6,
cemhsey_s1_d1t1,True,delta+Rice+xchan,cross-channel,1.88236696665583,5099962,5.008822140177462,1.8822226098088397,True,OK,OK,0.0127,160.7,12.2
cemhsey_s1_d1t1,True,zstd-19,,1.853665468992811,5178928,1.7966171854338964,258.8711712248165,True,ref,,,158.2,
cemhsey_s1_d1t1,True,LMS+Rice+acar,cross-channel,1.7434274148512774,5506395,3.7927358437572765,1.649005909283952,True,OK,OK,0.0559,148.8,
cemhsey_s1_d1t1,True,wavpack,,1.731258227985068,5545100,8.962073630256983,inf,True,ref,,,147.8,
cemhsey_s1_d1t1,True,LMS+Rice,temporal,1.729317186314472,5551324,4.162495317013973,1.6771576511588049,True,OK,OK,0.0523,147.6,
cemhsey_s1_d1t1,True,fixed0-3+Rice,temporal,1.7087779567643577,5618050,1.6418492804706473,1.9866039467519367,True,OK,OK,0.0193,145.9,
cemhsey_s1_d1t1,True,gzip-9,,1.6930359962379329,5670287,12.812994802655746,173.1335410745248,True,ref,,,144.5,
cemhsey_s1_d1t1,True,mtscomp,,1.6786169036022769,5718994,9.199280077373583,89.97572398731711,True,ref,,,143.3,
cemhsey_s1_d1t1,True,delta+Rice,temporal,1.6779772822850694,5721174,3.662226486505176,1.8280872337261407,True,OK,OK,0.0079,143.2,
cemhsey_s1_d1t1,True,flac,,1.1714421441198424,8195027,11.390889065725068,14.190143667954207,True,ref,,,100.0,
